product_name,brand,category,price,size,love_count,rating,reviews_count,category_1,category_2,category_3,size_oz,size_mL,size_g
Le Marc Lip Crème Lipstick,Marc Jacobs Beauty,Makeup/Lip/Lipstick,32.0,0.12 oz/ 3.6 g,123965,4.6165,1330,Makeup,Lip,Lipstick,0.12,,3.6
Daisy,Marc Jacobs Fragrances,Fragrance/Women/Perfume,29.0,3.4 oz/ 100 mL,81073,4.5411,1887,Fragrance,Women,Perfume,3.4,100,
Daisy Eau De Toilette Travel Spray Trio Set,Marc Jacobs Fragrances,Fragrance/Value & Gift Sets/Perfume Gift Sets,55.0,na,1736,5.0,1,Fragrance,Value & Gift Sets,Perfume Gift Sets,,,
Daisy Eau So Fresh,Marc Jacobs Fragrances,Fragrance/Women/Perfume,29.0,4.25 oz/ 125 mL,42365,4.5493,912,Fragrance,Women,Perfume,4.25,125,
Daisy Mini Perfume Set,Marc Jacobs Fragrances,Fragrance/Value & Gift Sets/Perfume Gift Sets,22.0,na,8504,4.5217,23,Fragrance,Value & Gift Sets,Perfume Gift Sets,,,
Daisy Love,Marc Jacobs Fragrances,Fragrance/Women/Perfume,86.0,1.7 oz/ 50 mL,13181,4.6447,228,Fragrance,Women,Perfume,1.7,50,
Daisy Dream,Marc Jacobs Fragrances,Fragrance/Women/Perfume,29.0,1.7 oz/ 50 mL,23040,4.15,280,Fragrance,Women,Perfume,1.7,50,
Daisy Love Eau So Sweet,Marc Jacobs Fragrances,Fragrance/Women/Perfume,29.0, 1.6 oz/ 50 mL,5793,4.3176,170,Fragrance,Women,Perfume,1.6,50,
Daisy Rollerball,Marc Jacobs Fragrances,Fragrance/Women/Rollerballs & Travel Size,29.0,0.33 oz/ 10 mL,0,4.7059,34,Fragrance,Women,Rollerballs & Travel Size,0.33,10,
Daisy Love Makeup Gift Set,Marc Jacobs Fragrances,Fragrance/Value & Gift Sets/Perfume Gift Sets,90.0,na,1036,4.5,8,Fragrance,Value & Gift Sets,Perfume Gift Sets,,,
Men,Marc Jacobs Fragrances,Fragrance/Men/Cologne,93.0,4.2 oz/ 125 mL,2086,4.9167,84,Fragrance,Men,Cologne,4.2,125,
Divine Decadence,Marc Jacobs Fragrances,Fragrance/Women/Perfume,74.0,1.7 oz/ 50 mL,5318,3.8349,109,Fragrance,Women,Perfume,1.7,50,
Daisy Eau So Fresh Daze,Marc Jacobs Fragrances,Fragrance/Women/Perfume,100.0,2.5 oz/ 75 mL,602,3.0,1,Fragrance,Women,Perfume,2.5,75,
The Icons: Drying Lotion & Rose Facial Spray Duo,Mario Badescu,Skincare/Value & Gift Sets,19.0,na,16844,4.2667,15,Skincare,Value & Gift Sets,no info,,,
"Facial Spray with Aloe, Herbs and Rosewater",Mario Badescu,Skincare/Moisturizers/Mists & Essences,7.0,4 oz/ 118 mL,24956,4.117,171,Skincare,Moisturizers,Mists & Essences,4,118,
Drying Lotion,Mario Badescu,Skincare/Treatments/Blemish & Acne Treatments,17.0,1 oz/ 29 mL,22424,4.2558,172,Skincare,Treatments,Blemish & Acne Treatments,1,29,
"Facial Spray with Aloe, Cucumber and Green Tea",Mario Badescu,Skincare/Moisturizers/Mists & Essences,7.0,8 oz/ 236 mL,11679,4.1408,71,Skincare,Moisturizers,Mists & Essences,8,236,
"Facial Spray with Aloe, Herbs and Rosewater Mini",Mario Badescu,Skincare/Mini Size,7.0,4 oz/ 118 mL,10326,4.5581,43,Skincare,Mini Size,no info,4,118,
"Facial Spray with Aloe, Chamomile and Lavender",Mario Badescu,Skincare/Moisturizers/Mists & Essences,7.0,8 oz/ 236 mL,9758,4.5625,48,Skincare,Moisturizers,Mists & Essences,8,236,
Glycolic Acid Toner,Mario Badescu,Skincare/Cleansers/Toners,18.0,8 oz/ 236 mL,9744,4.5385,39,Skincare,Cleansers,Toners,8,236,
Lip Balm,Mario Badescu,Skincare/Lip Treatments/Lip Balms & Treatments,8.0,0.35 oz/ 10 g,9711,4.6286,70,Skincare,Lip Treatments,Lip Balms & Treatments,0.35,,10
Acne Facial Cleanser,Mario Badescu,Skincare/Cleansers/Face Wash & Cleansers,15.0,6 oz/ 177 mL,9578,4.2,40,Skincare,Cleansers,Face Wash & Cleansers,6,177,
Vitamin C Serum,Mario Badescu,Skincare/Treatments/Face Serums,45.0,1 oz/ 29 mL,5661,4.0435,23,Skincare,Treatments,Face Serums,1,29,
"Facial Spray with Aloe, Cucumber and Green Tea Mini",Mario Badescu,Skincare/Mini Size,7.0,4 oz/ 118 mL,5067,4.3333,18,Skincare,Mini Size,no info,4,118,
Botanical Exfoliating Scrub,Mario Badescu,Skincare/Cleansers/Exfoliators,26.0,3.4 oz/ 100 mL,3523,4.4706,17,Skincare,Cleansers,Exfoliators,3.4,100,
Whitening Mint Toothpaste,Marvis,Skincare/High Tech Tools/Teeth Whitening,7.5,3.8 oz,13217,4.383,94,Skincare,High Tech Tools,Teeth Whitening,3.8,,
Jasmin Mint Toothpaste,Marvis,Skincare/High Tech Tools/Teeth Whitening,6.0,3.8 oz,4673,4.2464,69,Skincare,High Tech Tools,Teeth Whitening,3.8,,
7 Days of Flavor Set,Marvis,Skincare/High Tech Tools/Teeth Whitening,36.0,na,7817,4.52,25,Skincare,High Tech Tools,Teeth Whitening,,,
Classic Strong Mint Toothpaste,Marvis,Skincare/High Tech Tools/Teeth Whitening,6.0,3.8 oz,5223,4.3667,30,Skincare,High Tech Tools,Teeth Whitening,3.8,,
Whitening Mint Toothpaste Mini,Marvis,Mini Size/Skincare,7.5,1.3 oz,5798,4.0,11,Mini Size,Skincare,no info,1.3,,
Jasmin Mint Toothpaste Mini,Marvis,Mini Size/Skincare,6.0,1.3 oz,3623,4.8824,17,Mini Size,Skincare,no info,1.3,,
Aquatic Mint Toothpaste,Marvis,Skincare/High Tech Tools/Teeth Whitening,6.0,3.8 oz,2639,4.5769,26,Skincare,High Tech Tools,Teeth Whitening,3.8,,
Cinnamon Mint Toothpaste,Marvis,Skincare/High Tech Tools/Teeth Whitening,6.0,3.8 oz,1648,4.0,19,Skincare,High Tech Tools,Teeth Whitening,3.8,,
Ginger Mint Toothpaste,Marvis,Skincare/High Tech Tools/Teeth Whitening,6.0,3.8 oz,1407,4.0,17,Skincare,High Tech Tools,Teeth Whitening,3.8,,
Amarelli Licorice Toothpaste,Marvis,Skincare/High Tech Tools/Teeth Whitening,6.0,3.8 oz,1683,4.3478,23,Skincare,High Tech Tools,Teeth Whitening,3.8,,
Classic Strong Mint Toothpaste Mini,Marvis,Mini Size/Skincare,6.0,1.3 oz,2266,3.5,6,Mini Size,Skincare,no info,1.3,,
Toothbrush,Marvis,Skincare/High Tech Tools/Teeth Whitening,6.0,na,2585,4.2273,22,Skincare,High Tech Tools,Teeth Whitening,,,
Mineral Crème Broad Spectrum SPF 50 UVA-UVB Sunscreen,MDSolarSciences,Skincare/Sun Care/Face Sunscreen,30.0,1.7 oz,11363,4.2717,357,Skincare,Sun Care,Face Sunscreen,1.7,,
Smoke Sessions Eyeshadow Palette,Melt Cosmetics,Makeup/Eye/Eye Palettes,48.0,0.58 oz / 16.47 g,30895,4.5267,150,Makeup,Eye,Eye Palettes,0.58,,6.47
Amor Eterno Eyeshadow Palette,Melt Cosmetics,Makeup/Eye/Eye Palettes,58.0,0.524 oz/ 16.20 g,16209,4.8108,37,Makeup,Eye,Eye Palettes,0.524,,6.20
Gemini Eyeshadow Palette,Melt Cosmetics,Makeup/Eye/Eye Palettes,58.0,0.73 oz / 20.70 g ,16632,4.3636,121,Makeup,Eye,Eye Palettes,0.73,,0.70
Impulsive Pressed Pigment Palette,Melt Cosmetics,Makeup/Eye/Eye Palettes,65.0,na,16593,4.4949,99,Makeup,Eye,Eye Palettes,,,
Amor Eterno Gel Eyeliner,Melt Cosmetics,Makeup/Eye/Eyeliner,19.0,0.88 oz/ 2.5 g,5150,4.75,8,Makeup,Eye,Eyeliner,0.88,,2.5
Liquid Lipstick,Melt Cosmetics,Makeup/Lip/Lipstick,19.0,0.10 oz / 3.12 mL,17476,3.9804,51,Makeup,Lip,Lipstick,0.10,3.12,
Amor Eterno Illuminacion Highlighter,Melt Cosmetics,Makeup/Face/Highlighter,39.0,0.24 oz/ 7 g,3646,2.9091,11,Makeup,Face,Highlighter,0.24,,7
